126,164,12.6,16.4
128,164,12.8,16.4
130,164,13.0,16.4
131,164,13.1,16.4
131,164,13.1,16.4
131,164,13.1,16.4
132,164,13.2,16.4
133,164,13.3,16.4
133,164,13.3,16.4
133,164,13.3,16.4
134,164,13.4,16.4
135,164,13.5,16.4
135,164,13.5,16.4
135,164,13.5,16.4
136,164,13.6,16.4
136,163,13.6,16.3
137,163,13.7,16.3
138,164,13.8,16.4
138,163,13.8,16.3
138,163,13.8,16.3
139,164,13.9,16.4
140,163,14.0,16.3
140,163,14.0,16.3
140,163,14.0,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
141,163,14.1,16.3
142,163,14.2,16.3
142,163,14.2,16.3
143,163,14.3,16.3
143,163,14.3,16.3
143,163,14.3,16.3
143,163,14.3,16.3
143,163,14.3,16.3
143,163,14.3,16.3
144,163,14.4,16.3
144,163,14.4,16.3
144,163,14.4,16.3
144,163,14.4,16.3
144,163,14.4,16.3
145,163,14.5,16.3
145,163,14.5,16.3
146,163,14.6,16.3
146,163,14.6,16.3
146,163,14.6,16.3
146,163,14.6,16.3
147,163,14.7,16.3
147,163,14.7,16.3
148,163,14.8,16.3
150,163,15.0,16.3
151,163,15.1,16.3
152,163,15.2,16.3
152,163,15.2,16.3
152,163,15.2,16.3
152,163,15.2,16.3
153,163,15.3,16.3
153,163,15.3,16.3
153,163,15.3,16.3
153,163,15.3,16.3
153,163,15.3,16.3
155,163,15.5,16.3
155,163,15.5,16.3
155,163,15.5,16.3
155,163,15.5,16.3
156,163,15.6,16.3
156,163,15.6,16.3
156,162,15.6,16.2
157,162,15.7,16.2
158,163,15.8,16.3
158,162,15.8,16.2
158,162,15.8,16.2
159,162,15.9,16.2
160,162,16.0,16.2
159,162,15.9,16.2
159,162,15.9,16.2
159,162,15.9,16.2
160,163,16.0,16.3
161,162,16.1,16.2
161,162,16.1,16.2
162,162,16.2,16.2
163,162,16.3,16.2
163,162,16.3,16.2
163,162,16.3,16.2
163,162,16.3,16.2
163,162,16.3,16.2
164,162,16.4,16.2
164,162,16.4,16.2
164,162,16.4,16.2
164,162,16.4,16.2
164,162,16.4,16.2
164,162,16.4,16.2
164,162,16.4,16.2
164,162,16.4,16.2
164,162,16.4,16.2
